"행정구역별(읍면동)",2020,2020,2020,2020
"행정구역별(읍면동)",단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호)
"제주특별자치도",95879,78136,30645,35875
"동부",41771,72632,21080,29345
"한림읍",5542,954,1085,608
"애월읍",9367,1059,1739,1601
"구좌읍",5532,134,231,380
"조천읍",6281,759,1493,1108
"한경면",3864,24,217,81
"일도1동",439,115,15,143
"일도2동",3584,5116,411,1302
"이도1동",726,1226,64,239
"이도2동",3609,6553,2521,3647
"삼도1동",1879,1147,179,712
"삼도2동",1144,763,121,468
"용담1동",1268,263,132,530
"용담2동",2417,1161,272,716
"건입동",1049,1145,233,665
"화북동",1156,5510,612,1411
"삼양동",1494,5778,613,918
"봉개동",697,689,255,364
"아라동",2134,4363,3227,2975
"오라동",1094,545,1394,1797
"연동",1902,7474,1753,4015
"노형동",2266,10247,2248,3429
"외도동",1338,4098,412,1399
"이호동",571,292,229,491
"도두동",496,276,158,109
"대정읍",4792,715,3153,948
"남원읍",5359,705,504,289
"성산읍",4617,674,212,548
"안덕면",3791,193,464,479
"표선면",3522,285,461,461
"송산동",870,279,170,215
"정방동",316,359,131,18
"중앙동",526,130,35,158
"천지동",569,348,93,98
"효돈동",1222,33,296,347
"영천동",1327,142,567,78
"동홍동",863,6483,571,1211
"서홍동",852,1758,512,625
"대륜동",1844,2143,1688,397
"대천동",1612,2529,797,214
"중문동",1484,1667,1152,615
"예래동",1023,X,219,39
